feature,importance
target_dam_price,11.634523570522113
dam_vs_same_hour,8.502637582670244
target_week,5.9047308811539425
dam_vs_7d_mean,4.901777232931667
target_hour,4.306215488810816
dam_price_level,4.303254250534354
target_day_of_month,3.814491142461787
spread_median_7d,3.787586041287764
target_month,3.7563806580667713
spread_same_hour_std,3.287320941402095
spread_max_7d,3.201561224776783
target_dow,3.1178034193247632
rtm_std_7d,3.0263729941039137
spread_std_24h,2.6275670446220003
dam_percentile_7d,2.5790052631296656
hour_cos,2.5160556844110737
rtm_volatility_24h,2.115930922451412
spike_count_7d,1.9631850647982465
spread_positive_ratio_7d,1.7875096292073387
spread_same_dow_hour,1.7320487688996435
spread_same_dow_hour_last,1.6321319890271044
rtm_mean_7d,1.5728512584920122
rtm_max_7d,1.4969350673797943
target_is_summer,1.3399248330238358
spread_mean_24h,1.3243687964563475
month_sin,1.3007143594986983
dow_sin,1.1447095045703959
spread_std_7d,0.9824260363326169
rtm_spike_count_7d,0.9776764715897429
dam_mean_7d,0.9582901189921393
spread_positive_ratio_24h,0.9543571881181296
hour_sin,0.9457751500635709
month_cos,0.8787254770180636
spread_trend_7d,0.7440307480742239
dam_std_7d,0.7301478484218447
spread_mean_7d,0.7190068732864308
rtm_same_hour_hist,0.7084484006117103
spread_min_7d,0.6660714757616004
spread_same_hour_hist,0.6209694940419805
rtm_mean_24h,0.4267404210460445
dow_cos,0.40048285946659223
target_is_peak,0.22847192931440777
dam_mean_24h,0.21102237482663547
target_is_weekend,0.16976351901970074
