strategy,total_trades,long_trades,short_trades,total_pnl,avg_pnl_per_trade,win_rate,profit_factor,sharpe_ratio,max_drawdown,long_win_rate,short_win_rate
Binary (All),10799,2561,8238,100769.9325,9.3314133253079,0.7353458653579035,5.310718550892618,5.5390217300544755,-1200.6700000000055,0.3889105818039828,0.8430444282592863
Binary (prob>0.55),8919,1782,7137,96336.46,10.801262473371455,0.7702657248570468,6.471735733965271,6.086966137051425,-1194.125,0.4214365881032548,0.8573630376909065
Binary (prob>0.6),6923,1161,5762,87933.61000000002,12.701662574028603,0.8028311425682507,7.935986931569,6.482602101863479,-1179.6899999999987,0.4582256675279931,0.8722665741062131
Binary (prob>0.65),4834,616,4218,75862.2125,15.693465556474967,0.8357467935457178,11.541616005113632,6.429998996817494,-601.5000000000018,0.4772727272727273,0.8880986249407302
Binary (prob>0.7),2690,212,2478,57691.79000000001,21.44676208178439,0.879182156133829,18.889412503440017,5.124708471524891,-413.55249999999796,0.4858490566037736,0.9128329297820823
"Multiclass (classes 0,4)",2824,639,2185,56226.69,19.910300991501416,0.7255665722379604,4.651351097296247,4.787363278535033,-2307.965,0.28325508607198746,0.8549199084668192
"Multiclass (classes 0,1,3,4)",9352,3373,5979,72089.17,7.708422797262617,0.6415739948674081,3.0620383493777923,5.9165305628760905,-2307.965,0.2605988734064631,0.8564977420973406
Regression (|pred|>3),7833,1,7832,104600.4325,13.353814949572321,0.8383761011106856,8.521597628189765,5.7520402862925195,-1256.0199999999968,1.0,0.8383554647599591
Regression (|pred|>5),5264,0,5264,93886.3725,17.83555708586626,0.8649316109422492,10.276379147743583,5.193274665131822,-1256.0199999999968,0.0,0.8649316109422492
Regression (|pred|>10),2318,0,2318,72752.47,31.38588006902502,0.8938740293356342,14.063923964259036,4.079591959463655,-1229.7750000000015,0.0,0.8938740293356342
Regression (|pred|>15),1414,0,1414,62017.5325,43.85964108910891,0.9165487977369166,15.4386736472663,3.500896832444276,-1215.340000000002,0.0,0.9165487977369166
Baseline (Always Short),10799,0,10799,111421.5575,10.317766228354477,0.7879433280859339,7.172671022340579,6.100654960755583,-1256.0199999999968,0.0,0.7879433280859339
